GameRound,ground,Hands,Backhands,Season,Ages,prize,Rank,Sets
Round of 32,Clay,Right,Two,Spring,2,75000,119,3
Round of 32,Clay,Right,Two,Spring,11,75000,194,3
Semi-Finals,Clay,Right,Two,Spring,2,75000,20,2
Round of 32,Clay,Right,Two,Spring,1,75000,15,3
Quarter-Finals,Clay,Right,Two,Spring,5,75000,13,2
Finals,Clay,Right,Two,Spring,2,75000,79,2
Semi-Finals,Clay,Right,Two,Spring,2,75000,39,3
Round of 16,Clay,Right - Left,Two,Spring,5,75000,149,3
Quarter-Finals,Clay,Right,Two,Spring,3,75000,129,2
Round of 16,Clay,Right,Two,Spring,6,75000,6,2
Round of 32,Clay,Right,Two,Spring,2,75000,5,2
Quarter-Finals,Clay,Right,Two,Spring,2,75000,117,2
Round of 16,Clay,Right,Two,Spring,1,75000,68,2
Round of 32,Clay,Right - Left,Two,Spring,1,75000,84,3
Round of 16,Clay,Right,Two,Spring,7,75000,12,2
Round of 32,Clay,Right,Two,Spring,6,75000,84,3
Round of 32,Clay,Right,Two,Spring,8,75000,70,2
Round of 16,Clay,Right - Left,Two,Spring,2,75000,33,3
Round of 32,Clay,Right,One,Summer,0,10000,20,3
Round of 16,Clay,Right,One - Two,Summer,2,10000,250,2
Round of 32,Clay,Right - Left,Two,Summer,3,10000,435,2
Finals,Clay,Left,One,Summer,10,100000,15,3
Quarter-Finals,Clay,Right - Left,One,Summer,3,100000,34,2
Semi-Finals,Clay,Right - Left,One,Summer,10,100000,80,2
Round of 16,Clay,Right - Left,Two,Summer,2,100000,68,2
Round of 32,Clay,Right,Two,Summer,6,25000,27,2
Round of 16,Clay,Right,Two,Summer,2,25000,93,3
Semi-Finals,Clay,Right,Two,Summer,5,25000,9,2
Round of 32,Clay,Right,Two,Summer,2,25000,235,3
Round of 32,Clay,Right,Two,Summer,1,25000,132,3
Quarter-Finals,Clay,Right,Two,Summer,6,25000,156,2
Round of 32,Clay,Right,Two,Summer,2,25000,169,2
Round of 16,Clay,Right,Two,Summer,2,15000,292,2
Quarter-Finals,Clay,Right,One - Two,Summer,8,15000,374,3
Round of 32,Clay,Right,One,Summer,2,15000,352,2
Round of 16,Clay,Right,Two,Summer,6,15000,277,3
Round of 32,Clay,Right,Two,Summer,5,15000,435,2
Round of 16,Clay,Right,Two,Summer,3,15000,435,2
Round of 32,Clay,Right,Two,Summer,1,15000,255,2
Round of 32,Clay,Right,One - Two,Summer,2,15000,435,2
Semi-Finals,Clay,Right,Two,Summer,4,15000,435,2
Finals,Clay,Right,Two,Summer,1,15000,31,2
Quarter-Finals,Clay,Right,Two,Summer,0,15000,302,2
Round of 32,Clay,Right,Two,Summer,3,15000,435,2
Round of 16,Clay,Right,Two,Summer,1,15000,435,2
Round of 32,Clay,Right,Two,Summer,3,15000,435,3
Round of 32,Clay,Right,One - Two,Summer,5,15000,8,3
Round of 16,Clay,Right,One,Summer,5,15000,173,2
Round of 32,Clay,Right,One,Summer,7,15000,96,2
Round of 16,Clay,Right,Two,Summer,3,25000,368,2
Round of 32,Clay,Right,Two,Summer,2,25000,380,2
Finals,Clay,Right,Two,Summer,6,25000,48,2
Quarter-Finals,Clay,Right - Left,Two,Summer,11,25000,435,2
Semi-Finals,Clay,Right,One - Two,Summer,4,25000,69,2
Round of 32,Clay,Right,One - Two,Summer,5,25000,142,3
Round of 32,Clay,Right - Left,Two,Summer,10,25000,435,2
Round of 16,Clay,Right,Two,Summer,7,25000,292,2
Quarter-Finals,Clay,Right,One,Summer,1,25000,82,2
Round of 32,Clay,Right,One,Summer,4,25000,192,2
Round of 32,Clay,Right - Left,Two,Summer,7,25000,59,2
1st Round Qualifying,Hard,Right,Two,Autumn,1,2296490,40,2
2nd Round Qualifying,Hard,Right - Left,Two,Autumn,1,2296490,4,2
Round of 16,Hard,Right,Two,Autumn,4,2296490,22,3
Round of 32,Hard,Right - Left,Two,Autumn,1,2296490,52,2
1st Round Qualifying,Hard,Right,Two,Autumn,4,2296490,106,2
Round of 32,Hard,Right,Two,Autumn,0,2296490,29,3
Round of 16,Hard,Right,Two,Autumn,1,2296490,117,2
1st Round Qualifying,Hard,Right - Left,Two,Autumn,3,2296490,435,2
2nd Round Qualifying,Hard,Right,Two,Autumn,5,2296490,41,3
1st Round Qualifying,Hard,Right,Two,Autumn,3,2296490,15,2
Round of 16,Hard,Right - Left,One,Autumn,9,2296490,35,3
Semi-Finals,Hard,Right,One,Autumn,3,2296490,6,3
1st Round Qualifying,Hard,Right - Left,Two,Autumn,4,2296490,68,3
Round of 32,Hard,Right - Left,Two,Autumn,8,2296490,14,3
Quarter-Finals,Hard,Right,Two,Autumn,3,2296490,58,2
Round of 32,Hard,Right,Two,Autumn,7,2296490,110,3
Round of 16,Hard,Right,Two,Autumn,12,2296490,87,2
Round of 32,Hard,Right - Left,One - Two,Autumn,4,2296490,9,2
Round of 32,Hard,Right,One,Autumn,1,2296490,63,2
Round of 32,Hard,Right,Two,Autumn,5,2296490,107,2
Round of 32,Hard,Right,One - Two,Autumn,12,2296490,22,2
Round of 32,Hard,Right,Two,Autumn,1,2296490,26,2
1st Round Qualifying,Hard,Right,Two,Autumn,1,2296490,37,2
Round of 32,Hard,Right,Two,Autumn,3,2296490,11,2
2nd Round Qualifying,Hard,Right,Two,Autumn,0,2296490,16,3
Quarter-Finals,Hard,Right,Two,Autumn,1,2296490,11,2
Round of 16,Hard,Right,One - Two,Autumn,5,2296490,18,2
Round of 32,Hard,Right,Two,Autumn,1,2296490,64,3
Round of 32,Hard,Right,Two,Autumn,9,2296490,33,2
Round of 32,Hard,Right - Left,One - Two,Autumn,8,2296490,7,2
Round of 16,Hard,Right,Two,Autumn,3,2296490,23,3
2nd Round Qualifying,Hard,Right - Left,One,Autumn,12,2296490,21,2
1st Round Qualifying,Hard,Right,One,Autumn,12,2296490,86,2
Round of 32,Hard,Right - Left,Two,Autumn,1,2296490,3,2
1st Round Qualifying,Hard,Right,One - Two,Autumn,4,2296490,194,2
Round of 32,Clay,Right - Left,Two,Summer,1,10000,435,2
Quarter-Finals,Clay,Right,Two,Summer,7,10000,133,3
Finals,Clay,Right,One - Two,Summer,0,10000,74,2
Round of 32,Clay,Right,One - Two,Summer,0,10000,435,2
Semi-Finals,Clay,Right,One,Summer,0,10000,223,3
Round of 32,Carpet,Right,Two,Autumn,4,180000,108,3
Round of 16,Carpet,Right,Two,Autumn,0,180000,156,2
Quarter-Finals,Carpet,Right,Two,Autumn,1,180000,98,3
Round of 32,Carpet,Right,Two,Autumn,3,180000,237,2
Semi-Finals,Carpet,Right,Two,Autumn,2,180000,49,2
Quarter-Finals,Carpet,Right,Two,Autumn,1,180000,51,2
Round of 16,Carpet,Right,Two,Autumn,6,180000,4,3
Round of 32,Carpet,Right,Two,Autumn,3,180000,53,2
Quarter-Finals,Carpet,Right,One,Autumn,1,180000,20,2
Round of 32,Carpet,Right - Left,One,Autumn,10,180000,116,2
Round of 16,Carpet,Right,Two,Autumn,6,180000,107,3
Round of 32,Carpet,Right,Two,Autumn,3,180000,435,3
Round of 32,Carpet,Right,Two,Autumn,2,180000,70,2
Round of 16,Carpet,Right,One,Autumn,6,180000,84,2
Round of 32,Carpet,Right,Two,Autumn,3,180000,26,2
Round of 32,Carpet,Right,Two,Autumn,0,180000,15,2
Round of 16,Carpet,Right,Two,Autumn,2,180000,80,2
Round of 32,Carpet,Right,Two,Autumn,2,180000,225,2
Round of 16,Carpet,Right - Left,One,Autumn,1,180000,186,2
Semi-Finals,Carpet,Right - Left,One,Autumn,9,180000,5,2
Quarter-Finals,Carpet,Right - Left,One,Autumn,2,180000,55,2
Round of 32,Carpet,Right - Left,One,Autumn,3,180000,81,3
1st Round Qualifying,Hard,Right,Two,Autumn,3,1884645,116,2
Round of 16,Hard,Right,Two,Autumn,2,1884645,22,3
Quarter-Finals,Hard,Right,Two,Autumn,2,1884645,25,2
Round of 32,Hard,Right - Left,Two,Autumn,2,1884645,33,3
1st Round Qualifying,Hard,Right,Two,Autumn,4,1884645,9,3
2nd Round Qualifying,Hard,Right,Two,Autumn,2,1884645,8,3
Round of 32,Hard,Right,One - Two,Autumn,7,1884645,49,3
1st Round Qualifying,Hard,Right,Two,Autumn,3,1884645,107,2
Round of 32,Hard,Right - Left,One,Autumn,3,1884645,65,2
Round of 32,Hard,Right - Left,One,Autumn,12,1884645,13,3
Round of 16,Hard,Right,One,Autumn,12,1884645,69,3
Quarter-Finals,Hard,Right,One,Autumn,12,1884645,40,3
Round of 32,Hard,Right,One,Autumn,11,1884645,8,2
Round of 16,Hard,Right - Left,One - Two,Autumn,4,1884645,3,3
Round of 32,Hard,Right - Left,Two,Autumn,7,1884645,403,2
Round of 32,Hard,Right,Two,Autumn,12,1884645,24,2
Round of 16,Hard,Right,Two,Autumn,4,1884645,44,2
2nd Round Qualifying,Hard,Right,Two,Autumn,2,1884645,6,3
1st Round Qualifying,Hard,Right - Left,Two,Autumn,4,1884645,49,2
Round of 32,Hard,Right,One,Autumn,3,1884645,17,3
1st Round Qualifying,Hard,Right - Left,Two,Autumn,0,1884645,395,3
Round of 16,Hard,Right,One - Two,Autumn,7,1884645,19,2
Round of 32,Hard,Right,Two,Autumn,0,1884645,24,3
Round of 32,Clay,Right - Left,One,Summer,3,100000,82,2
Round of 32,Clay,Right - Left,Two,Summer,1,100000,93,2
Round of 16,Clay,Right - Left,Two,Summer,4,100000,67,3
Round of 32,Clay,Left,Two,Summer,0,100000,113,2
Round of 32,Clay,Right - Left,Two,Summer,10,100000,59,2
Round of 32,Clay,Right,Two,Summer,3,100000,102,2
Quarter-Finals,Clay,Left,Two,Summer,2,100000,190,2
Round of 32,Clay,Right - Left,Two,Summer,4,100000,180,2
Round of 16,Clay,Left,Two,Summer,9,100000,88,2
Round of 32,Clay,Right,Two,Summer,5,100000,143,3
Semi-Finals,Clay,Right - Left,Two,Summer,5,100000,30,2
Quarter-Finals,Clay,Right,Two,Summer,1,100000,21,2
Round of 32,Clay,Right,Two,Summer,7,100000,31,2
Round of 32,Clay,Right - Left,Two,Summer,8,100000,21,2
Round of 32,Clay,Right,One,Summer,7,100000,280,3
Round of 16,Clay,Right - Left,Two,Summer,4,100000,249,3
Round of 32,Clay,Right - Left,One,Summer,3,10000,435,3
Round of 32,Clay,Right,Two,Summer,4,10000,435,2
Round of 32,Clay,Right - Left,Two,Summer,1,10000,435,2
Quarter-Finals,Clay,Right - Left,Two,Summer,7,10000,177,3
Round of 16,Clay,Right,One - Two,Summer,6,10000,435,2
Round of 16,Clay,Right,Two,Summer,2,10000,435,2
Round of 32,Clay,Right,Two,Summer,0,10000,141,2
Round of 16,Clay,Right - Left,Two,Summer,0,10000,230,2
Quarter-Finals,Clay,Right - Left,Two,Summer,2,10000,20,2
Finals,Clay,Right - Left,Two,Summer,1,10000,176,3
Round of 32,Clay,Right,Two,Summer,1,10000,435,2
Quarter-Finals,Clay,Right,Two,Summer,2,10000,435,2
Semi-Finals,Clay,Right - Left,Two,Summer,2,10000,351,2
Round of 16,Clay,Right,Two,Summer,3,10000,428,2
Semi-Finals,Clay,Right,Two,Summer,3,50000,13,2
Round of 32,Clay,Right,One - Two,Summer,1,10000,89,3
Semi-Finals,Clay,Right,Two,Summer,10,10000,186,3
Finals,Clay,Right,Two,Summer,9,10000,125,3
Round of 16,Clay,Right - Left,Two,Summer,1,10000,110,2
Round of 64,Clay,Right,One,Summer,4,800000,243,2
Semi-Finals,Clay,Right,One,Summer,7,800000,32,2
Quarter-Finals,Clay,Right,One,Summer,3,800000,65,2
Round of 16,Clay,Right,One,Summer,3,800000,35,2
Round of 32,Clay,Right,One,Summer,4,800000,304,2
Round of 32,Clay,Right,One,Summer,3,800000,94,2
Round of 64,Clay,Right,One,Summer,1,800000,120,2
Round of 16,Clay,Right,One,Summer,5,800000,7,2
Round of 32,Clay,Right,Two,Summer,3,800000,15,3
Round of 64,Clay,Right,One,Summer,0,800000,435,3
Round of 64,Clay,Left,Two,Summer,5,800000,61,3
Round of 32,Clay,Left,One,Summer,5,800000,48,3
Round of 64,Clay,Right,One,Summer,1,800000,24,2
Round of 32,Clay,Right,One,Summer,0,800000,3,3
Round of 16,Clay,Right - Left,One,Summer,1,800000,19,3
Round of 16,Clay,Right,One - Two,Summer,9,800000,11,2
Round of 32,Clay,Right,One - Two,Summer,7,800000,43,3
Quarter-Finals,Clay,Right - Left,Two,Summer,5,800000,56,2
Round of 32,Clay,Right,One,Summer,2,800000,49,2
Round of 32,Clay,Right,One - Two,Summer,0,800000,263,2
Round of 16,Clay,Right,Two,Summer,6,800000,60,3
Round of 64,Clay,Right,One,Summer,5,800000,20,2
Round of 32,Clay,Right - Left,Two,Summer,5,800000,7,2
Round of 32,Clay,Right,Two,Summer,0,800000,72,2
Round of 64,Clay,Right,Two,Summer,5,800000,5,2
Semi-Finals,Clay,Right,One - Two,Summer,0,800000,22,2
Round of 16,Clay,Right,One - Two,Summer,2,800000,27,2
Round of 32,Clay,Right,Two,Summer,1,800000,38,2
Quarter-Finals,Clay,Right,Two,Summer,3,800000,32,2
Round of 64,Clay,Right,Two,Summer,7,800000,26,2
Round of 64,Clay,Right,One,Summer,5,800000,69,3
Round of 32,Clay,Right - Left,One,Summer,3,800000,80,3
Round of 64,Clay,Left,Two,Summer,7,800000,3,2
Round of 16,Clay,Right - Left,Two,Summer,1,800000,28,3
Round of 64,Clay,Right,Two,Summer,1,800000,83,2
Round of 32,Clay,Right,One - Two,Summer,6,800000,187,3
Round of 32,Hard,Right - Left,Two,Autumn,6,700000,12,2
Round of 32,Hard,Right,Two,Autumn,1,700000,37,2
Round of 16,Hard,Right,Two,Autumn,5,700000,10,2
Quarter-Finals,Hard,Right - Left,Two,Autumn,8,700000,35,2
Round of 32,Hard,Right - Left,Two,Autumn,4,700000,11,3
Round of 16,Hard,Right - Left,One,Autumn,4,700000,2,3
Round of 32,Hard,Right,One,Autumn,1,700000,15,3
Round of 32,Hard,Left,Two,Autumn,8,700000,8,2
Round of 16,Hard,Right - Left,Two,Autumn,3,700000,31,3
Round of 32,Hard,Right,One,Autumn,2,700000,18,2
Round of 32,Hard,Right,Two,Autumn,4,700000,35,3
Round of 16,Hard,Right - Left,One,Autumn,9,700000,32,2
Round of 32,Hard,Right,One,Autumn,8,700000,9,2
Round of 32,Hard,Right,One,Autumn,5,700000,27,3
Round of 16,Hard,Right,One,Autumn,4,700000,12,2
Quarter-Finals,Hard,Right,One,Autumn,9,700000,11,2
Round of 32,Hard,Right - Left,Two,Autumn,2,700000,72,2
Round of 16,Hard,Right - Left,Two,Autumn,1,700000,13,3
Round of 16,Hard,Right,One,Autumn,1,700000,25,2
Quarter-Finals,Hard,Right,One,Autumn,3,700000,32,2
Round of 32,Hard,Right,One,Autumn,3,700000,24,2
Semi-Finals,Hard,Right,One,Autumn,7,700000,21,3
Round of 32,Clay,Right,Two,Spring,2,75000,21,3
Semi-Finals,Clay,Right,Two,Spring,1,75000,43,3
Round of 32,Clay,Right,Two,Spring,4,75000,36,3
Quarter-Finals,Clay,Right,Two,Spring,3,75000,19,3
Round of 32,Clay,Right - Left,Two,Spring,5,75000,29,3
Round of 32,Clay,Right - Left,Two,Spring,1,75000,93,2
Round of 32,Clay,Right,Two,Spring,3,75000,80,3
Round of 16,Clay,Left,Two,Spring,1,75000,167,3
Round of 32,Clay,Right,Two,Spring,1,75000,27,2
Round of 16,Clay,Right,Two,Spring,0,75000,76,2
Round of 32,Clay,Right - Left,Two,Spring,1,75000,249,2
Round of 16,Clay,Right - Left,Two,Spring,2,75000,59,2
Round of 32,Hard,Right,One,Autumn,3,700000,48,3
Round of 32,Hard,Right,One,Autumn,1,700000,10,3
Round of 16,Hard,Right - Left,One,Autumn,7,700000,62,2
Round of 32,Hard,Right - Left,One,Autumn,7,700000,35,3
Quarter-Finals,Hard,Right,Two,Autumn,1,700000,21,3
Round of 32,Hard,Right,Two,Autumn,3,700000,79,2
Semi-Finals,Hard,Right - Left,Two,Autumn,1,700000,69,2
Round of 16,Hard,Right,One - Two,Autumn,4,700000,13,3
Round of 32,Hard,Right - Left,Two,Autumn,2,700000,13,2
Round of 32,Hard,Right - Left,Two,Autumn,8,700000,177,3
Round of 32,Hard,Right - Left,Two,Autumn,1,700000,46,3
Round of 32,Hard,Right,Two,Autumn,1,700000,14,2
Round of 16,Hard,Right - Left,Two,Autumn,2,700000,153,2
Round of 16,Hard,Right,One,Autumn,6,700000,21,2
Round of 32,Hard,Right,One,Autumn,1,700000,66,3
Round of 32,Hard,Right - Left,Two,Autumn,1,700000,8,3
Round of 16,Hard,Right - Left,Two,Autumn,5,700000,30,3
Quarter-Finals,Hard,Right - Left,One,Autumn,4,700000,78,2
Round of 16,Hard,Right,One - Two,Autumn,4,700000,7,2
Quarter-Finals,Hard,Right - Left,Two,Autumn,7,700000,16,2
Round of 32,Hard,Right,Two,Autumn,2,700000,11,3
Round of 32,Hard,Right - Left,One,Autumn,6,700000,13,3
Quarter-Finals,Clay,Right - Left,Two,Summer,5,10000,220,2
Round of 32,Clay,Right - Left,Two,Summer,4,10000,435,2
Round of 16,Clay,Right,Two,Summer,1,10000,435,2
Quarter-Finals,Clay,Right,One,Summer,0,10000,126,3
Round of 16,Clay,Right,One,Summer,2,10000,30,2
Round of 16,Clay,Right,Two,Summer,1,10000,333,2
Round of 32,Clay,Right - Left,One - Two,Summer,1,10000,435,2
Quarter-Finals,Clay,Right - Left,One - Two,Summer,4,10000,171,3
Finals,Clay,Right - Left,Two,Summer,3,10000,165,3
Semi-Finals,Clay,Right - Left,Two,Summer,2,10000,137,2
Round of 16,Clay,Left,One - Two,Summer,1,10000,120,2
Round of 32,Clay,Right,One,Summer,5,10000,414,2
Quarter-Finals,Clay,Right,Two,Summer,4,10000,207,2
Semi-Finals,Clay,Right,One - Two,Summer,0,10000,435,2
Round of 16,Clay,Right - Left,Two,Summer,2,10000,333,2
Round of 32,Clay,Right,Two,Summer,10,10000,435,2
Round of 32,Clay,Right - Left,Two,Summer,2,10000,266,2
Round of 16,Clay,Right,Two,Summer,0,10000,263,3
Round of 16,Clay,Right,One,Summer,4,10000,435,2
Quarter-Finals,Clay,Right,One,Summer,0,10000,435,2
Round of 32,Clay,Right,One,Summer,8,10000,435,2
Round of 32,Clay,Right - Left,One,Summer,5,10000,435,2
Round of 32,Clay,Right,Two,Spring,3,15000,101,2
Round of 16,Clay,Right,Two,Spring,2,15000,355,3
Quarter-Finals,Clay,Right,One,Spring,2,15000,38,3
Round of 32,Clay,Right,Two,Spring,3,15000,75,2
Semi-Finals,Clay,Right,One,Spring,4,15000,6,2
Quarter-Finals,Clay,Right,One,Spring,3,15000,64,2
Round of 16,Clay,Right,Two,Spring,0,15000,2,2
Round of 16,Clay,Right,Two,Spring,3,15000,166,2
Quarter-Finals,Clay,Right,Two,Spring,1,15000,30,3
Round of 32,Clay,Right,Two,Spring,0,15000,405,2
Round of 32,Clay,Right,Two,Summer,0,10000,382,2
Semi-Finals,Clay,Right - Left,Two,Summer,5,10000,225,2
Round of 32,Clay,Right - Left,Two,Summer,2,10000,129,3
Quarter-Finals,Clay,Right - Left,Two,Summer,4,10000,435,2
Finals,Clay,Right,Two,Summer,6,10000,435,2
Semi-Finals,Clay,Right,Two,Summer,6,10000,45,2
Round of 32,Clay,Right,One - Two,Summer,2,10000,399,2
Round of 16,Clay,Right,One - Two,Summer,3,10000,435,3
Round of 16,Clay,Right,Two,Summer,3,10000,376,2
Round of 32,Clay,Right - Left,Two,Summer,0,10000,264,3
Quarter-Finals,Carpet,Right,Two,Winter,1,25000,67,2
Round of 32,Carpet,Left,Two,Winter,5,25000,435,2
Round of 32,Carpet,Right,Two,Winter,0,25000,11,3
Semi-Finals,Carpet,Right,Two,Winter,6,25000,74,2
Round of 16,Carpet,Right,Two,Winter,2,25000,58,2
Quarter-Finals,Carpet,Right - Left,Two,Winter,1,25000,1,2
Round of 32,Carpet,Right,Two,Winter,3,25000,56,3
Round of 16,Carpet,Right,Two,Winter,2,25000,138,2
Round of 32,Carpet,Right,Two,Winter,0,25000,149,3
Quarter-Finals,Carpet,Right - Left,Two,Winter,2,25000,78,3
Round of 32,Carpet,Right,Two,Winter,3,25000,25,2
Quarter-Finals,Hard,Right,One - Two,Autumn,5,732000,60,2
Round of 16,Hard,Right,Two,Autumn,3,732000,30,2
Round of 32,Hard,Right,Two,Autumn,5,732000,146,2
Round of 16,Hard,Left,One,Autumn,4,732000,17,3
Round of 32,Hard,Right,One,Autumn,1,732000,38,3
Round of 16,Hard,Right,One,Autumn,2,732000,99,2
Round of 16,Hard,Right,One,Autumn,3,732000,26,3
1st Round Qualifying,Hard,Right,One,Autumn,2,732000,123,2
Round of 32,Hard,Right,Two,Autumn,4,732000,53,3
Quarter-Finals,Hard,Right,One - Two,Autumn,0,732000,17,3
Round of 32,Hard,Right,Two,Autumn,2,732000,9,3
Round of 16,Hard,Right,Two,Autumn,2,732000,38,3
Round of 16,Hard,Right - Left,Two,Autumn,2,732000,33,3
Round of 32,Hard,Right,Two,Autumn,2,732000,102,2
Round of 32,Hard,Right - Left,One - Two,Autumn,1,732000,110,2
1st Round Qualifying,Hard,Right,Two,Autumn,6,732000,22,3
Round of 32,Hard,Right,One - Two,Autumn,3,732000,12,3
1st Round Qualifying,Hard,Right,Two,Autumn,1,732000,191,3
Semi-Finals,Hard,Right,Two,Autumn,3,732000,70,2
Quarter-Finals,Hard,Right,Two,Autumn,8,732000,13,3
Round of 32,Hard,Right,Two,Autumn,5,732000,67,2
Round of 32,Hard,Right,One - Two,Autumn,11,732000,53,3
1st Round Qualifying,Hard,Right - Left,Two,Autumn,3,732000,270,2
2nd Round Qualifying,Hard,Right,Two,Autumn,4,732000,142,3
Round of 32,Hard,Right - Left,Two,Autumn,1,732000,45,3
1st Round Qualifying,Hard,Right,Two,Autumn,2,732000,435,2
Round of 32,Hard,Right,Two,Autumn,7,732000,68,2
1st Round Qualifying,Hard,Right,Two,Autumn,5,732000,87,3
Finals,Clay,Right,Two,Summer,2,10000,214,3
Quarter-Finals,Clay,Right,One,Summer,5,10000,435,2
Semi-Finals,Clay,Right,Two,Summer,6,10000,321,3
Round of 16,Clay,Right,Two,Summer,1,10000,225,3
Round of 32,Hard,Right,One - Two,Autumn,1,665000,19,2
Quarter-Finals,Hard,Right - Left,Two,Autumn,1,665000,33,2
Round of 16,Hard,Right,One - Two,Autumn,4,665000,22,3
Round of 32,Hard,Right,One - Two,Autumn,9,665000,4,3
Round of 32,Hard,Right,Two,Autumn,3,665000,29,3
Round of 16,Hard,Right,One - Two,Autumn,2,665000,98,2
Round of 32,Hard,Right,One - Two,Autumn,7,665000,100,2
Quarter-Finals,Hard,Right - Left,Two,Autumn,1,665000,61,3
Semi-Finals,Hard,Right,One,Autumn,2,665000,4,3
Round of 16,Hard,Right,One,Autumn,4,665000,32,2
Quarter-Finals,Hard,Right,One,Autumn,2,665000,6,3
Round of 32,Hard,Right,One,Autumn,5,665000,33,2
Round of 32,Hard,Right - Left,Two,Autumn,6,665000,40,2
Round of 32,Hard,Right,One,Autumn,3,665000,26,2
Semi-Finals,Hard,Right,One,Autumn,1,665000,24,2
Round of 16,Hard,Right,One,Autumn,4,665000,54,2
Round of 32,Hard,Right - Left,Two,Autumn,1,665000,22,3
Round of 16,Hard,Right - Left,Two,Autumn,1,665000,93,3
Round of 32,Hard,Right,Two,Autumn,4,665000,101,2
Round of 32,Hard,Right,One,Autumn,3,665000,103,3
Round of 32,Hard,Right - Left,One,Autumn,2,665000,84,2
Round of 32,Hard,Left,Two,Autumn,4,665000,26,2
Quarter-Finals,Clay,Right,Two,Summer,1,100000,46,3
Round of 32,Clay,Right - Left,Two,Summer,4,100000,213,2
Round of 16,Clay,Right,Two,Summer,1,100000,185,2
Round of 32,Clay,Right,Two,Summer,2,100000,72,3
Round of 16,Clay,Right,One,Summer,4,100000,103,2
Round of 32,Clay,Right - Left,One,Summer,8,100000,130,2
Round of 16,Clay,Right - Left,One,Summer,2,100000,128,3
Quarter-Finals,Clay,Right - Left,One,Summer,5,100000,34,2
Round of 32,Clay,Right,Two,Summer,3,100000,169,2
Round of 32,Clay,Right,One,Summer,2,100000,21,3
Round of 32,Clay,Right,Two,Summer,3,100000,86,2
Semi-Finals,Clay,Right - Left,One - Two,Summer,4,100000,57,3
Round of 16,Clay,Right,One - Two,Summer,2,100000,70,3
Quarter-Finals,Clay,Right,Two,Summer,2,100000,22,2
Round of 32,Clay,Right,One,Summer,3,100000,55,2
Round of 32,Clay,Right,One,Summer,8,100000,121,3
Round of 16,Clay,Right,Two,Summer,3,100000,17,2
Round of 32,Clay,Right,Two,Summer,3,100000,221,2
Round of 16,Clay,Right,One,Summer,8,100000,103,3
Round of 32,Clay,Right,One,Summer,7,100000,134,2
Round of 16,Clay,Right,Two,Summer,2,100000,200,3
Round of 32,Clay,Right,Two,Summer,6,100000,139,2
Round of 32,Clay,Right - Left,Two,Summer,5,100000,46,2
Round of 32,Clay,Right,Two,Summer,2,100000,96,2
Semi-Finals,Clay,Right,Two,Summer,2,100000,34,2
Round of 32,Clay,Right,Two,Summer,3,100000,11,2
Finals,Clay,Right,Two,Summer,4,100000,21,2
Quarter-Finals,Clay,Right,Two,Summer,6,100000,45,2
Round of 16,Clay,Right - Left,Two,Summer,1,100000,62,2
Round of 32,Clay,Right - Left,One,Summer,6,10000,283,2
Round of 16,Clay,Right,One,Summer,8,10000,409,3
Round of 32,Clay,Right,One,Summer,7,10000,435,2
Round of 16,Carpet,Right - Left,Two,Winter,3,15000,210,3
Round of 32,Carpet,Right,Two,Winter,7,15000,3,2
Semi-Finals,Carpet,Right,One - Two,Winter,4,15000,111,2
Round of 32,Carpet,Right,Two,Winter,2,15000,435,2
Round of 32,Carpet,Right - Left,Two,Winter,2,15000,435,2
Round of 32,Carpet,Right,One,Winter,9,15000,122,2
Quarter-Finals,Carpet,Right,One,Winter,2,15000,129,2
Round of 16,Carpet,Right,One,Winter,2,15000,107,3
Round of 16,Carpet,Right - Left,One,Autumn,7,465000,27,3
Round of 32,Carpet,Right - Left,Two,Autumn,6,465000,87,2
Round of 32,Carpet,Right,Two,Autumn,5,465000,32,3
Round of 32,Carpet,Right,Two,Autumn,3,465000,75,2
Round of 16,Carpet,Right,Two,Autumn,3,465000,102,2
Semi-Finals,Carpet,Right,Two,Autumn,0,465000,89,2
Quarter-Finals,Carpet,Right,Two,Autumn,0,465000,25,2
Round of 32,Carpet,Right,Two,Autumn,1,465000,36,3
Round of 32,Carpet,Right - Left,Two,Autumn,0,465000,67,2
Round of 16,Carpet,Right - Left,Two,Autumn,0,465000,61,2
Round of 32,Carpet,Right - Left,Two,Autumn,6,465000,10,2
Round of 32,Carpet,Right,Two,Autumn,5,465000,208,3
Quarter-Finals,Carpet,Right - Left,Two,Autumn,3,465000,72,2
Round of 16,Carpet,Right,Two,Autumn,1,465000,95,2
Round of 32,Carpet,Right,Two,Autumn,5,465000,320,3
Round of 32,Carpet,Right - Left,Two,Autumn,12,465000,435,2
Round of 16,Carpet,Right,One,Autumn,6,465000,128,2
Round of 32,Carpet,Right,Two,Autumn,2,465000,128,2
Round of 16,Carpet,Right,Two,Autumn,6,465000,59,2
Round of 32,Carpet,Right,Two,Autumn,1,465000,116,2
Round of 32,Carpet,Right,Two,Autumn,8,465000,50,2
Quarter-Finals,Carpet,Left,One,Autumn,0,465000,25,2
Round of 32,Carpet,Right - Left,One,Autumn,2,465000,49,3
Round of 16,Carpet,Left,One,Autumn,2,465000,51,2
Round of 16,Carpet,Right - Left,Two,Autumn,1,465000,27,2
Round of 16,Clay,Right,Two,Summer,4,10000,435,2
Quarter-Finals,Clay,Right,Two,Summer,5,10000,15,2
